SG_UF,ANO_ELEICAO,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,NR_IDADE_DATA_POSSE,NM_COLIGACAO,SQ_COLIGACAO,NR_PARTIDO,NM_PARTIDO,QT_VOTOS,ranking_colig,CADEIRAS_r1,CADEIRAS_r2,CADEIRAS_r3,CADEIRAS_r4,eleito_r1,eleito_r2,eleito_r3,eleito_r4
SP,2018,6,DEPUTADO FEDERAL,1720,EDUARDO NANTES BOLSONARO,APTO,34,PARTIDO ISOLADO,250000050356,17,PARTIDO SOCIAL LIBERAL,1843735,1,17,16,10,10,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,1771,JOICE CRISTINA HASSELMANN,APTO,41,PARTIDO ISOLADO,250000050356,17,PARTIDO SOCIAL LIBERAL,1078666,2,17,16,10,10,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,1000,CELSO UBIRAJARA RUSSOMANNO,APTO,62,PARTIDO ISOLADO,250000050175,10,PARTIDO REPUBLICANO BRASILEIRO,521728,1,6,6,6,6,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,2555,KIM PATROCA KATAGUIRI,APTO,23,PSDB-PSD-DEM-PP,250000050157,25,DEMOCRATAS,465310,1,15,15,17,17,1,1,1,1
PE,2018,6,DEPUTADO FEDERAL,4040,JOÃO HENRIQUE DE ANDRADE LIMA CAMPOS,APTO,25,FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL,170000050271,40,PARTIDO SOCIALISTA BRASILEIRO,460387,1,8,8,8,8,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,2222,FRANCISCO EVERARDO OLIVEIRA SILVA,APTO,53,PARTIDO ISOLADO,250000050504,22,PARTIDO DA REPÚBLICA,453855,1,6,6,7,7,1,1,1,1
RS,2018,6,DEPUTADO FEDERAL,3030,MARCEL VAN HATTEM,APTO,33,PARTIDO ISOLADO,210000050077,30,PARTIDO NOVO,349855,1,2,2,1,1,1,1,1,1
RJ,2018,6,DEPUTADO FEDERAL,1720,HELIO FERNANDO BARBOSA LOPES,APTO,49,PARTIDO ISOLADO,190000050390,17,PARTIDO SOCIAL LIBERAL,345234,1,12,12,12,12,1,1,1,1
RJ,2018,6,DEPUTADO FEDERAL,5050,MARCELO RIBEIRO FREIXO,APTO,51,MUDAR É POSSÍVEL,190000050058,50,PARTIDO SOCIALISMO E LIBERDADE,342491,1,4,4,4,4,1,1,1,1
BA,2018,6,DEPUTADO FEDERAL,7000,MANOEL ISIDORIO DE SANTANA JUNIOR,APTO,56,FRENTE DO TRABALHO POR TODOS OS BAIANOS,50000050213,70,AVANTE,323264,1,2,2,2,2,1,1,1,1
